Mesh Number: 0
Vertex Count: 2418
Triangle Count: 806
 V425: 0.700000 -2.031565 -1.585953 
 V426: -2.031565 -1.585953 0.100000 
 V427: -1.585953 0.100000 -2.031565 
 V428: 0.100000 -2.031565 -1.585953 
 V429: -2.031565 -1.585953 0.700000 
 V430: -1.585953 0.700000 -2.031565 
 V431: 0.700000 -2.031565 -1.585953 
 V432: -2.031565 -1.585953 0.700000 
 V433: -1.585953 0.700000 -2.031565 
 V434: 0.700000 -2.031565 -1.585953 
 V435: -2.031565 -1.585953 0.100000 
 V436: -1.585953 0.100000 -2.003729 
 V437: 0.100000 -2.003729 -1.578038 
 V438: -2.003729 -1.578038 0.100000 
 V439: -1.578038 0.100000 -2.031565 
 V440: 0.100000 -2.031565 -1.585953 
 V441: -2.031565 -1.585953 0.700000 
 V442: -1.585953 0.700000 -2.003729 
 V443: 0.700000 -2.003729 -1.578038 
 V444: -2.003729 -1.578038 0.100000 
 V445: -1.578038 0.100000 -2.003729 
 V446: 0.100000 -2.003729 -1.578038 
 V447: -2.003729 -1.578038 0.700000 
 V448: -1.578038 0.700000 -2.003729 
 V449: 0.700000 -2.003729 -1.578038 
 V450: -2.003729 -1.578038 0.700000 
 V451: -1.578038 0.700000 -2.003729 
 V452: 0.700000 -2.003729 -1.578038 
 V453: -2.003729 -1.578038 0.100000 
 V454: -1.578038 0.100000 -1.968485 
 V455: 0.100000 -1.968485 -1.563243 
 V456: -1.968485 -1.563243 0.100000 
 V457: -1.563243 0.100000 -2.003729 
 V458: 0.100000 -2.003729 -1.578038 
 V459: -2.003729 -1.578038 0.700000 
 V460: -1.578038 0.700000 -1.968485 
 V461: 0.700000 -1.968485 -1.563243 
 V462: -1.968485 -1.563243 0.100000 
 V463: -1.563243 0.100000 -1.968485 
 V464: 0.100000 -1.968485 -1.563243 
 V465: -1.968485 -1.563243 0.700000 
 V466: -1.563243 0.700000 -1.968485 
 V467: 0.700000 -1.968485 -1.563243 
 V468: -1.968485 -1.563243 0.700000 
